Date,Stock,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),sma_short,sma_long,signal,buy_sell_qty,buy_sell_qty_value,positions_carry_qty,position_carry_val,stock_value,cash,position_total,portfolio_returns,mkt_returns
2004-10-12,TCS,1110.0,1115.0,1077.65,1080.0,1084.45,1950064.0,21321.21,1053.1599999999999,1025.6999999999998,0.0,0.0,0.0,1.0,1048.4,1084.45,-48.40000000000009,1036.05,-0.4659429339994192,-0.4452400624254005
2004-10-14,TCS,1103.0,1124.0,1088.05,1117.5,1116.2,2403248.0,26622.34,1058.5475,1028.1459459459459,0.0,0.0,0.0,1.0,1048.4,1116.2,-48.40000000000009,1067.8,3.064523912938566,2.927751394716216
2004-10-15,TCS,1121.7,1141.0,1117.25,1127.6,1126.0,2224968.0,25126.93,1063.6225,1030.7210526315787,0.0,0.0,0.0,1.0,1048.4,1126.0,-48.40000000000009,1077.6,0.9177748642067662,0.8779788568356928
2004-10-18,TCS,1134.0,1142.0,1125.25,1134.0,1137.25,1711668.0,19436.43,1069.3399999999997,1033.4525641025639,0.0,0.0,0.0,1.0,1048.4,1137.25,-48.40000000000009,1088.85,1.0439866369710504,0.9991119005328564
2004-10-19,TCS,1140.15,1148.7,1136.1,1143.0,1143.2,1470891.0,16800.75,1074.2099999999998,1036.1962499999997,0.0,0.0,0.0,1.0,1048.4,1143.2,-48.40000000000009,1094.8,0.5464480874316946,0.5231919103099614
2004-10-20,TCS,1144.8,1149.9,1129.0,1134.2,1133.25,900854.0,10284.02,1078.27,1038.563414634146,0.0,0.0,0.0,1.0,1048.4,1133.25,-48.40000000000009,1084.85,-0.9088417975885998,-0.8703638908327593
2004-10-21,TCS,1137.25,1139.0,1122.0,1127.0,1125.55,801690.0,9056.53,1083.0349999999999,1040.6345238095237,0.0,0.0,0.0,1.0,1048.4,1125.55,-48.40000000000009,1077.1499999999999,-0.7097755450062304,-0.6794617251268509
2004-10-25,TCS,1125.0,1127.0,1110.75,1118.0,1117.35,1173784.0,13114.29,1087.4624999999999,1042.4186046511627,0.0,0.0,0.0,1.0,1048.4,1117.35,-48.40000000000009,1068.9499999999998,-0.7612681613517247,-0.7285327173381928
2004-10-26,TCS,1115.6,1140.95,1115.6,1140.2,1137.2,866595.0,9792.86,1093.2849999999999,1044.572727272727,0.0,0.0,0.0,1.0,1048.4,1137.2,-48.40000000000009,1088.8,1.8569624397773543,1.7765248131740297
2004-10-27,TCS,1142.25,1148.0,1135.2,1140.5,1139.9,979707.0,11192.47,1099.5025,1046.691111111111,0.0,0.0,0.0,1.0,1048.4,1139.9,-48.40000000000009,1091.5,0.2479794268919866,0.23742525501231349
2004-10-28,TCS,1145.0,1174.8,1145.0,1164.0,1165.95,2323927.0,27073.16,1106.25,1049.2836956521737,0.0,0.0,0.0,1.0,1048.4,1165.95,-48.40000000000009,1117.55,2.3866239120476473,2.28528818317395
2004-10-29,TCS,1167.95,1167.95,1145.15,1158.0,1156.25,1082722.0,12506.91,1112.7075,1051.5595744680847,0.0,0.0,0.0,1.0,1048.4,1156.25,-48.40000000000009,1107.85,-0.8679701131940498,-0.8319396200523244
2004-11-01,TCS,1150.0,1174.45,1142.3,1170.0,1170.65,767196.0,8916.09,1118.855,1054.0406249999999,0.0,0.0,0.0,1.0,1048.4,1170.65,-48.40000000000009,1122.25,1.299814956898504,1.2454054054054087
2004-11-02,TCS,1130.0,1179.75,1125.0,1160.95,1159.7,1108005.0,12894.85,1123.015,1056.19693877551,0.0,0.0,0.0,1.0,1048.4,1159.7,-48.40000000000009,1111.3,-0.9757184228113225,-0.9353777815743425
2004-11-03,TCS,1161.0,1184.0,1161.0,1175.6,1175.2,1122267.0,13190.61,1127.7400000000002,1058.5769999999998,0.0,0.0,0.0,1.0,1048.4,1175.2,-48.40000000000009,1126.8,1.3947628903086429,1.3365525566956915
2004-11-04,TCS,1181.75,1187.9,1167.7,1169.0,1170.4,819476.0,9649.17,1132.1800000000003,1060.769607843137,0.0,0.0,0.0,1.0,1048.4,1170.4,-48.40000000000009,1122.0,-0.42598509052182987,-0.4084411164057111
2004-11-05,TCS,1173.95,1180.0,1160.0,1165.9,1165.45,627981.0,7321.88,1135.5975000000003,1062.782692307692,0.0,0.0,0.0,1.0,1048.4,1165.45,-48.40000000000009,1117.05,-0.44117647058824483,-0.42293233082707493
2004-11-08,TCS,1165.0,1188.9,1156.0,1183.0,1184.15,1286466.0,15172.96,1139.9025000000006,1065.0726415094337,0.0,0.0,0.0,1.0,1048.4,1184.15,-48.40000000000009,1135.75,1.6740521910389106,1.6045304388862647
2004-11-09,TCS,1187.0,1197.9,1177.0,1186.1,1188.4,917339.0,10910.98,1144.2900000000004,1067.3564814814813,0.0,0.0,0.0,1.0,1048.4,1188.4,-48.40000000000009,1140.0,0.37420206911731313,0.3589072330363541
2004-11-10,TCS,1191.0,1199.0,1190.1,1195.4,1194.35,716799.0,8567.08,1149.5425000000005,1069.6654545454542,0.0,0.0,0.0,1.0,1048.4,1194.35,-48.40000000000009,1145.9499999999998,0.5219298245613846,0.5006731740154757
2004-11-11,TCS,1199.0,1203.4,1191.1,1196.0,1196.25,654391.0,7841.91,1155.1325000000004,1071.9258928571426,0.0,0.0,0.0,1.0,1048.4,1196.25,-48.40000000000009,1147.85,0.16580130023124973,0.15908234604598004
